started
2017-1-15T12.12.9.331	Created parser
2017-1-15T12.12.9.331	Assigned names - going to load data
2017-1-15T12.12.9.331	Loading data
2017-1-15T12.12.9.331	Creating stop words manager
2017-1-15T12.12.9.333	Before big loop
2017-1-15T12.12.14.306	Opening sw stream with some words
2017-1-15T12.12.14.307	finalizing stats
2017-1-15T12.12.14.352	At line '53' in file ''	 Word hinsley is in 1 documents
2017-1-15T12.12.14.352	At line '53' in file ''	 Word 18141815 is in 1 documents
2017-1-15T12.12.14.352	At line '53' in file ''	 Word westphalia is in 1 documents
2017-1-15T12.12.14.352	At line '53' in file ''	 Word ingos is in 1 documents
2017-1-15T12.12.14.352	At line '53' in file ''	 Word ios is in 1 documents
2017-1-15T12.12.14.352	At line '53' in file ''	 Word io is in 1 documents
2017-1-15T12.12.14.353	At line '53' in file ''	 Word 13951424 is in 1 documents
2017-1-15T12.12.14.353	At line '53' in file ''	 Word hartcourt is in 1 documents
2017-1-15T12.12.14.353	At line '53' in file ''	 Word adadem is in 1 documents
2017-1-15T12.12.14.353	At line '53' in file ''	 Word garey is in 1 documents
2017-1-15T12.12.14.353	At line '53' in file ''	 Word 111152 is in 1 documents
2017-1-15T12.12.14.354	At line '53' in file ''	 Word 15871622 is in 1 documents
2017-1-15T12.12.14.354	At line '53' in file ''	 Word aile is in 1 documents
2017-1-15T12.12.14.354	At line '53' in file ''	 Word 2350 is in 1 documents
2017-1-15T12.12.14.354	At line '53' in file ''	 Word voix is in 1 documents
2017-1-15T12.12.14.354	At line '53' in file ''	 Word rendu is in 1 documents
2017-1-15T12.12.14.355	At line '53' in file ''	 Word probabilité is in 1 documents
2017-1-15T12.12.14.355	At line '53' in file ''	 Word 5759 is in 1 documents
2017-1-15T12.12.14.355	At line '53' in file ''	 Word econonomi is in 1 documents
2017-1-15T12.12.14.355	At line '53' in file ''	 Word taxset is in 1 documents
2017-1-15T12.12.14.355	At line '53' in file ''	 Word voteseek is in 1 documents
2017-1-15T12.12.14.356	At line '53' in file ''	 Word julia is in 1 documents
2017-1-15T12.12.14.356	At line '53' in file ''	 Word durden is in 1 documents
2017-1-15T12.12.14.356	At line '53' in file ''	 Word munger is in 1 documents
2017-1-15T12.12.14.356	At line '53' in file ''	 Word wolak is in 1 documents
2017-1-15T12.12.14.356	At line '53' in file ''	 Word withinst is in 1 documents
2017-1-15T12.12.14.356	At line '53' in file ''	 Word effienc is in 1 documents
2017-1-15T12.12.14.357	At line '53' in file ''	 Word executivel is in 1 documents
2017-1-15T12.12.14.357	At line '53' in file ''	 Word executivecontrol is in 1 documents
2017-1-15T12.12.14.357	At line '53' in file ''	 Word baremajor is in 1 documents
2017-1-15T12.12.14.357	At line '53' in file ''	 Word lowi is in 1 documents
2017-1-15T12.12.14.357	At line '53' in file ''	 Word niou is in 1 documents
2017-1-15T12.12.14.358	At line '53' in file ''	 Word universalist is in 1 documents
2017-1-15T12.12.14.358	At line '53' in file ''	 Word scratch is in 1 documents
2017-1-15T12.12.14.358	At line '53' in file ''	 Word krehbiel is in 1 documents
2017-1-15T12.12.14.358	At line '53' in file ''	 Word agendasett is in 1 documents
2017-1-15T12.12.14.358	At line '53' in file ''	 Word agendaset is in 1 documents
2017-1-15T12.12.14.359	At line '53' in file ''	 Word servicepubl is in 1 documents
2017-1-15T12.12.14.359	At line '53' in file ''	 Word 162179 is in 1 documents
2017-1-15T12.12.14.359	At line '53' in file ''	 Word p119 is in 1 documents
2017-1-15T12.12.14.359	At line '53' in file ''	 Word 142143 is in 1 documents
2017-1-15T12.12.14.359	At line '53' in file ''	 Word 2324 is in 1 documents
2017-1-15T12.12.14.360	At line '53' in file ''	 Word undertax is in 1 documents
2017-1-15T12.12.14.360	At line '53' in file ''	 Word laren is in 1 documents
2017-1-15T12.12.14.360	At line '53' in file ''	 Word nonrent is in 1 documents
2017-1-15T12.12.14.360	At line '53' in file ''	 Word zelenitz is in 1 documents
2017-1-15T12.12.14.360	At line '53' in file ''	 Word entrepreneurpolitician is in 1 documents
2017-1-15T12.12.14.360	At line '53' in file ''	 Word pp83 is in 1 documents
2017-1-15T12.12.14.361	At line '53' in file ''	 Word taxexpenditureregul is in 1 documents
2017-1-15T12.12.14.361	At line '53' in file ''	 Word rousseaus is in 1 documents
2017-1-15T12.12.14.361	At line '53' in file ''	 Word 389410 is in 1 documents
2017-1-15T12.12.14.361	At line '53' in file ''	 Word withincountri is in 1 documents
2017-1-15T12.12.14.361	At line '53' in file ''	 Word tocquevill is in 1 documents
2017-1-15T12.12.14.362	At line '53' in file ''	 Word illinform is in 1 documents
2017-1-15T12.12.14.362	At line '53' in file ''	 Word picket is in 1 documents
2017-1-15T12.12.14.362	At line '53' in file ''	 Word frug is in 1 documents
2017-1-15T12.12.14.362	At line '53' in file ''	 Word trio is in 1 documents
2017-1-15T12.12.14.362	At line '53' in file ''	 Word martinezvasquez is in 1 documents
2017-1-15T12.12.14.363	At line '53' in file ''	 Word carefullyspecifi is in 1 documents
2017-1-15T12.12.14.363	At line '53' in file ''	 Word analysis127 is in 1 documents
2017-1-15T12.12.14.363	At line '53' in file ''	 Word nijhoffkluw is in 1 documents
2017-1-15T12.12.14.363	At line '53' in file ''	 Word interestgrouptheori is in 1 documents
2017-1-15T12.12.14.363	At line '53' in file ''	 Word 1419 is in 1 documents
2017-1-15T12.12.14.364	At line '53' in file ''	 Word luder is in 1 documents
2017-1-15T12.12.14.364	At line '53' in file ''	 Word sushil is in 1 documents
2017-1-15T12.12.14.364	At line '53' in file ''	 Word 797817 is in 1 documents
2017-1-15T12.12.14.364	At line '53' in file ''	 Word konfliktlösungsmechanismen is in 1 documents
2017-1-15T12.12.14.364	At line '53' in file ''	 Word konflikt is in 1 documents
2017-1-15T12.12.14.365	At line '53' in file ''	 Word welthandelsordnung is in 1 documents
2017-1-15T12.12.14.365	At line '53' in file ''	 Word martti is in 2 documents
2017-1-15T12.12.14.365	At line '53' in file ''	 Word hansjorg is in 1 documents
2017-1-15T12.12.14.365	At line '53' in file ''	 Word 56112 is in 1 documents
2017-1-15T12.12.14.365	At line '53' in file ''	 Word forschungsprogramm is in 1 documents
2017-1-15T12.12.14.365	At line '53' in file ''	 Word regelung is in 1 documents
2017-1-15T12.12.14.366	At line '53' in file ''	 Word privatautonom is in 1 documents
2017-1-15T12.12.14.366	At line '53' in file ''	 Word transakt is in 1 documents
2017-1-15T12.12.14.366	At line '53' in file ''	 Word transaktionen is in 1 documents
2017-1-15T12.12.14.366	At line '53' in file ''	 Word territorialität is in 1 documents
2017-1-15T12.12.14.366	At line '53' in file ''	 Word comeback is in 1 documents
2017-1-15T12.12.14.367	At line '53' in file ''	 Word 641647 is in 1 documents
2017-1-15T12.12.14.367	At line '53' in file ''	 Word purcel is in 1 documents
2017-1-15T12.12.14.367	At line '53' in file ''	 Word 765774 is in 1 documents
2017-1-15T12.12.14.367	At line '53' in file ''	 Word mercer is in 1 documents
2017-1-15T12.12.14.367	At line '53' in file ''	 Word gnade is in 1 documents
2017-1-15T12.12.14.368	At line '53' in file ''	 Word kehrmann is in 1 documents
2017-1-15T12.12.14.368	At line '53' in file ''	 Word bobk is in 1 documents
2017-1-15T12.12.14.368	At line '53' in file ''	 Word däubler is in 1 documents
2017-1-15T12.12.14.368	At line '53' in file ''	 Word arbeitsbeziehungen is in 1 documents
2017-1-15T12.12.14.368	At line '53' in file ''	 Word bewältigung is in 1 documents
2017-1-15T12.12.14.369	At line '53' in file ''	 Word 10721091 is in 1 documents
2017-1-15T12.12.14.369	At line '53' in file ''	 Word zeiss is in 1 documents
2017-1-15T12.12.14.369	At line '53' in file ''	 Word wps is in 1 documents
2017-1-15T12.12.14.369	At line '53' in file ''	 Word 568569 is in 1 documents
2017-1-15T12.12.14.369	At line '53' in file ''	 Word plateau is in 1 documents
2017-1-15T12.12.14.370	At line '53' in file ''	 Word wellwat is in 1 documents
2017-1-15T12.12.14.370	At line '53' in file ''	 Word choiceinfluenc is in 1 documents
2017-1-15T12.12.14.370	At line '53' in file ''	 Word ussr is in 1 documents
